ID,transaction_id,Category_Code,Unit_Code,Project_Code,transaction_date,customer_id
1214,1000002147,Crab & Crack,BU-fca786ffced3,,2026-04-24,2
1215,1000002147,Crab & Crack,BU-fca786ffced3,,2026-04-24,3
1216,1000002148,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1217,1000002149,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1218,1000002154,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1219,1000002152,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1220,1000002152,Crab & Crack,BU-fca786ffced3,,2026-04-24,2
1221,1000002152,Crab & Crack,BU-fca786ffced3,,2026-04-24,3
1222,1000002152,Crab & Crack,BU-fca786ffced3,,2026-04-24,4
1223,1000002152,Crab & Crack,BU-fca786ffced3,,2026-04-24,5
1224,1000002161,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1225,1000002164,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1226,1000002164,Crab & Crack,BU-fca786ffced3,,2026-04-24,2
1227,1000002166,Crab & Crack,BU-fca786ffced3,,2026-04-25,1
1228,1000002174,Crab & Crack,BU-fca786ffced3,,2026-04-25,1
1229,1000002174,Crab & Crack,BU-fca786ffced3,,2026-04-25,2
1230,1000002173,Crab & Crack,BU-fca786ffced3,,2026-04-25,1
1231,1000002173,Crab & Crack,BU-fca786ffced3,,2026-04-25,2
1232,1000002175,Crab & Crack,BU-fca786ffced3,,2026-04-25,1
1233,1000002175,Crab & Crack,BU-fca786ffced3,,2026-04-25,2
1234,1000002183,Crab & Crack,BU-fca786ffced3,,2026-04-25,1
1235,1000002182,Crab & Crack,BU-fca786ffced3,,2026-04-25,1
1236,1000002182,Crab & Crack,BU-fca786ffced3,,2026-04-25,2
1237,1000002187,Crab & Crack,BU-fca786ffced3,,2026-04-25,1
1238,1000002192,Crab & Crack,BU-fca786ffced3,,2026-04-25,1
1239,1000002192,Crab & Crack,BU-fca786ffced3,,2026-04-25,2
1240,1000002197,Crab & Crack,BU-fca786ffced3,,2026-04-25,1
1241,1000002197,Crab & Crack,BU-fca786ffced3,,2026-04-25,2
1242,1000002203,Crab & Crack,BU-fca786ffced3,,2026-04-25,1
1243,1000002208,Crab & Crack,BU-fca786ffced3,,2026-04-25,1
1244,1000002206,Crab & Crack,BU-fca786ffced3,,2026-04-25,1
1245,1000002206,Crab & Crack,BU-fca786ffced3,,2026-04-25,2
