role_id,permission_id,can_access,created_at,updated_at
3,11,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,12,1,2026-08-09 00:00:00,2026-08-09 00:00:00
3,13,1,2026-08-09 00:00:00,2026-08-09 00:00:00
3,14,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,15,1,2026-08-09 00:00:00,2026-08-09 00:00:00
3,16,1,2026-08-09 00:00:00,2026-08-09 00:00:00
3,17,1,2026-08-09 00:00:00,2026-08-09 00:00:00
3,18,1,2026-08-09 00:00:00,2026-08-09 00:00:00
3,19,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,20,1,2026-08-09 00:00:00,2026-08-09 00:00:00
3,21,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,22,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,23,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,24,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,25,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,26,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,27,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,28,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,29,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,30,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,31,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,32,1,2026-08-09 00:00:00,2026-08-09 00:00:00
3,33,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,34,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,35,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,36,1,2026-08-09 00:00:00,2026-08-09 00:00:00
3,37,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,38,1,2026-08-09 00:00:00,2026-08-09 00:00:00
3,39,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,40,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,41,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,42,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,43,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,44,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,45,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,46,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,47,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,48,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,49,1,2026-08-09 00:00:00,2026-08-09 00:00:00
3,50,1,2026-08-09 00:00:00,2026-08-09 00:00:00
3,51,1,2026-08-09 00:00:00,2026-08-09 00:00:00
3,52,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,53,1,2026-08-09 00:00:00,2026-08-09 00:00:00
3,54,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,55,0,2026-08-09 00:00:00,2026-08-09 00:00:00
